Date,Food ,Mines,Oil  ,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars ,Trans,Utils,Rtail,Finan,Other
1980-01-01,0.030599999999999995,0.12969999999999998,0.1308,0.020300000000000002,0.0392,0.031900000000000005,-0.031,0.0799,0.1677,0.06440000000000001,0.0695,0.0996,0.1527,0.007600000000000001,-0.0063,0.0132,0.030900000000000004
1980-02-01,-0.0617,0.0288,0.1211,-0.0178,-0.0619,-0.0249,-0.048999999999999995,-0.029900000000000003,-0.0076,-0.0191,-0.047099999999999996,-0.0734,-0.0745,-0.0428,-0.0624,-0.0596,-0.0225
1980-03-01,-0.10170000000000001,-0.1994,-0.1908,-0.1027,-0.0676,-0.1328,-0.0401,-0.1605,-0.1985,-0.17909999999999998,-0.1397,-0.1076,-0.1412,-0.078,-0.0927,-0.101,-0.1098
1980-04-01,0.05890000000000001,-0.0179,0.0558,0.0245,0.009400000000000002,0.0358,0.038,0.0278,0.010499999999999999,0.027499999999999997,-0.0116,-0.0416,-0.0189,0.1074,0.0349,0.055499999999999994,0.05220000000000001
1980-05-01,0.0713,0.0897,0.033299999999999996,0.030199999999999998,0.0498,0.06680000000000001,0.07229999999999999,0.08059999999999999,0.04359999999999999,0.04869999999999999,0.04069999999999999,0.022399999999999996,0.05039999999999999,0.03779999999999999,0.0951,0.0708,0.0554
1980-06-01,0.0172,0.10100000000000002,0.053599999999999995,0.027299999999999998,0.020999999999999998,0.0147,-0.0026999999999999993,0.0437,0.0179,0.0459,0.032499999999999994,0.0147,0.005299999999999999,0.0393,0.017299999999999996,0.0423,0.012000000000000002
1980-07-01,0.0532,0.0873,0.015100000000000002,0.13,0.09259999999999999,0.0821,0.07930000000000001,0.12259999999999999,0.12229999999999999,0.09620000000000001,0.1405,0.12129999999999999,0.13499999999999998,-0.0063,0.101,0.027299999999999998,0.07
1980-08-01,-0.000700000000000001,0.0596,0.030800000000000004,0.023200000000000002,0.0158,0.022500000000000003,-0.0135,0.0079,0.0047,0.0161,0.017900000000000003,0.0243,0.0050999999999999995,-0.018099999999999998,-0.0018000000000000004,0.012100000000000003,0.036
1980-09-01,-0.0087,0.11550000000000002,0.0623,0.010000000000000002,0.012900000000000002,0.009600000000000001,0.0014000000000000002,0.0093,0.0383,0.030199999999999998,0.0186,0.008200000000000002,0.0232,-0.006,-0.0119,0.0183,0.012
1980-10-01,-0.0189,-0.0125,0.06830000000000001,0.0029,0.012100000000000001,-0.022199999999999998,-0.025500000000000002,0.0215,-0.019799999999999998,0.044,0.011500000000000002,-0.065,0.011900000000000003,0.0099,-0.024300000000000002,-0.0083,0.0005000000000000004
1980-11-01,-0.008899999999999998,0.0786,0.228,0.000700000000000001,0.0696,0.0766,0.048,0.0616,0.0459,0.098,0.097,-0.0208,0.1412,0.06420000000000001,-0.0026999999999999993,0.0467,0.06860000000000001
1980-12-01,0.005400000000000002,-0.0947,-0.1192,-0.032100000000000004,-0.037000000000000005,-0.0322,0.025599999999999998,-0.0524,-0.0563,-0.0388,-0.0354,-0.0159,-0.0196,-0.032600000000000004,-0.007400000000000001,0.018,-0.0229
1981-01-01,0.016200000000000003,-0.09819999999999998,-0.11019999999999999,0.06559999999999999,-0.0265,0.0046,-0.022099999999999998,-0.0347,-0.0033,-0.0536,-0.0844,-0.0287,-0.0398,-0.03609999999999999,0.0051,-0.0356,-0.0301
1981-02-01,0.012199999999999999,-0.0466,-0.0148,0.008799999999999999,0.0714,0.028899999999999995,0.021199999999999997,0.028699999999999996,0.014999999999999996,0.005599999999999997,0.004199999999999999,0.0543,-0.0175,-0.0234,0.0283,0.008999999999999998,0.0167
1981-03-01,0.0568,0.14780000000000001,-0.0337,0.0606,0.031900000000000005,0.0114,0.0337,0.0649,0.1872,0.0543,0.0329,0.06920000000000001,0.0661,0.0177,0.11829999999999999,0.056900000000000006,0.0444
1981-04-01,-0.0115,-0.039400000000000004,-0.08940000000000001,0.0045000000000000005,-0.0184,-0.034100000000000005,0.0148,-0.0277,-0.0267,-0.013000000000000001,-0.012700000000000001,0.011099999999999999,0.0081,-0.0376,0.0309,-0.0044,0.014899999999999997
1981-05-01,0.013000000000000001,-0.0111,-0.05,0.002100000000000001,-0.0066,-0.0297,0.0028000000000000004,-0.0063999999999999994,-0.0124,-0.0029,0.0148,0.0224,0.014599999999999998,0.006700000000000001,0.0195,0.0162,0.028099999999999997
1981-06-01,-0.0193,-0.0455,0.0349,-0.004700000000000001,-0.0437,0.013500000000000002,-0.038400000000000004,-0.0313,-0.077,-0.0484,-0.0699,-0.0455,-0.0662,0.0209,-0.0256,0.0032999999999999974,-0.044300000000000006
1981-07-01,-0.0257,0.0291,0.06820000000000001,-0.0204,-0.040799999999999996,-0.0633,-0.040799999999999996,-0.0538,-0.0109,-0.0127,-0.0402,-0.0422,-0.0689,0.015599999999999998,-0.0451,-0.0434,-0.0318
1981-08-01,-0.062,-0.0131,-0.07740000000000001,-0.07100000000000001,-0.0834,-0.084,-0.0644,-0.06480000000000001,-0.08650000000000001,-0.0685,-0.0804,-0.1037,-0.10760000000000002,-0.0211,-0.0757,-0.0646,-0.0696
1981-09-01,-0.0313,-0.1614,-0.1369,-0.0416,-0.045,-0.09759999999999999,-0.025500000000000002,-0.11349999999999999,-0.10669999999999999,-0.08779999999999999,-0.072,-0.0495,-0.0676,-0.0677,-0.0343,-0.0374,-0.0436
