Date,MITTX,FBGRX,FSCSX
28/02/09,0.073024055,0.092738408,0.09009009
31/03/09,0.084067254,0.136108887,0.101239669
30/04/09,0.064992614,0.035236082,0.033771107
31/05/09,-0.000693481,-0.007488087,0.049001815
30/06/09,0.07425399,0.096364883,0.053633218
31/07/09,0.032299742,0.042852674,0.031198686
31/08/09,0.037546934,0.049790042,0.062101911
30/09/09,-0.021712907,-0.028857143,0.014992504
31/10/09,0.052404439,0.065313327,0.0605613
30/11/09,0.017574692,0.048053024,0.057103064
31/12/09,-0.031663788,-0.054018445,-0.071146245
31/01/10,0.027348395,0.043454039,0.025531915
28/02/10,0.049189815,0.071276028,0.060857538
31/03/10,0.01103144,0.019935211,0.015645372
30/04/10,-0.090016367,-0.075983386,-0.082156611
31/05/10,-0.045563549,-0.069804336,-0.051748252
30/06/10,0.067839196,0.069641842,0.073746313
31/07/10,-0.052941176,-0.053946319,-0.027472527
31/08/10,0.09068323,0.120224719,0.127118644
30/09/10,0.035876993,0.054162487,0.085213033
31/10/10,-0.001649258,0.024500476,-0.019630485
30/11/10,0.058370044,0.052937079,0.030624264
31/12/10,0.018730489,0.020727674,0.022857143
31/01/11,0.030643514,0.032404407,0.023463687
28/02/11,0.001982161,0.003347981,0.008733624
31/03/11,0.029673591,0.035245047,-0.029220779
30/04/11,-0.012007685,-0.010072522,-0.015607581
31/05/11,-0.020418085,-0.018925519,-0.013590034
30/06/11,-0.012903226,-0.000829703,-0.016073479
31/07/11,-0.061840121,-0.066431389,-0.064177363
31/08/11,-0.087888532,-0.120080053,-0.05361596
30/09/11,0.118683901,0.116502401,0.138339921
31/10/11,-0.008928571,-0.023540063,-0.020833333
30/11/11,-0.010068892,-0.016458044,-0.082742317
31/12/11,0.049250535,0.067169456,0.078608247
31/01/12,0.051020408,0.074425795,0.075268817
29/02/12,0.036407767,0.035560123,0.038888889
31/03/12,-0.008899297,-0.010520048,-0.06631016
30/04/12,-0.073724008,-0.082848546,-0.088201604
31/05/12,0.032142857,0.026246719,0.045226131
30/06/12,0.025704399,0.009803922,-0.014423077
31/07/12,0.02746988,0.041789785,0.056097561
31/08/12,0.028611632,0.022893031,0.034642032
30/09/12,-0.017327861,-0.037235096,-0.055803571
31/10/12,0.013457077,0.027360625,0.009456265
30/11/12,-0.016483516,-0.017821386,-0.036299766
31/12/12,0.054469274,0.044444444,0.060753341
31/01/13,0.017218543,0.012297482,0.008018328
28/02/13,0.029513889,0.031430775,0.029545455
31/03/13,0.007588533,0.014395214,0.003311258
30/04/13,0.024686192,0.046258754,0.055005501
31/05/13,-0.016741527,-0.019200282,0.008342023
30/06/13,0.056893688,0.071300287,0.049638056
31/07/13,-0.030255403,-0.011399832,0.004926108
31/08/13,0.039708266,-0.009496354,0.068627451
30/09/13,0.039750585,0.042972094,0.024770642
31/10/13,0.028485757,0.030860144,0.044762757
30/11/13,0.010204082,0.009076433,0.017137961
31/12/13,-0.034271284,-0.015306928,-0.00168492
31/01/14,0.050056033,0.067147436,0.04978903
